,收盘价(元)
0,3296.258
1,3287.711
2,3361.84
3,3125.002
4,3186.412
5,3016.704
6,3022.861
7,2949.597
8,3007.649
9,2900.97
10,2913.837
11,3007.739
12,2976.694
13,2880.482
14,2916.562
15,2938.515
16,2749.785
17,2735.56
18,2655.66
19,2737.6
20,2688.854
21,2749.57
22,2739.247
23,2781.023
24,2763.492
25,2746.196
26,2836.571
27,2867.338
28,2862.893
29,2860.021
30,2927.175
31,2903.331
32,2928.896
33,2741.245
34,2767.21
35,2687.979
36,2733.17
37,2849.681
38,2859.758
39,2874.147
40,2897.34
41,2901.387
42,2862.556
43,2804.726
44,2810.307
45,2859.499
46,2864.368
47,2870.43
48,2904.832
49,2955.15
50,3018.802
51,2999.363
52,3009.96
53,2960.97
54,2979.434
55,2957.82
56,2919.832
57,3000.645
58,3003.915
59,3009.53
60,3053.065
61,3050.592
62,3008.42
63,2984.958
64,3033.957
65,3023.646
66,3066.638
67,3082.362
68,3078.117
69,3033.66
70,3042.823
71,2972.584
72,2952.891
73,2959.24
74,2946.67
75,2964.7
76,2953.671
77,2945.589
78,2938.324
79,2992.643
80,2991.272
81,2997.842
82,2913.248
83,2832.113
84,2832.591
85,2837.037
86,2835.862
87,2827.109
88,2850.862
89,2843.684
90,2807.514
91,2806.906
92,2825.483
93,2843.645
94,2821.666
95,2815.086
96,2822.443
97,2821.046
98,2822.451
99,2916.616
100,2913.508
101,2925.229
102,2938.682
103,2934.098
104,2936.045
105,2927.159
106,2833.071
107,2842.189
108,2887.21
109,2872.817
110,2885.105
111,2888.809
112,2878.558
113,2905.55
114,2891.96
115,2854.286
116,2895.703
117,2912.557
118,2931.592
119,2929.606
120,2932.476
121,2988.604
122,3006.392
123,3017.292
124,3016.847
125,2988.094
126,2994.917
127,3049.381
128,3060.689
129,3054.018
130,3054.296
131,3043.564
132,3036.598
133,3027.9
134,3039.009
135,3012.816
136,3015.828
137,3050.166
138,2991.999
139,2994.323
140,2979.339
141,2953.385
142,2971.279
143,2978.461
144,2982.426
145,2976.696
146,3004.277
147,3025.681
148,3018.746
149,3002.638
150,3050.667
151,3125.195
152,3110.037
153,3109.555
154,3104.114
155,3108.102
156,3084.805
157,3089.706
158,3085.88
159,3068.329
160,3070.309
161,3070.027
162,3074.677
163,3085.491
164,3063.305
165,3067.352
166,3072.095
167,3090.713
168,3091.928
169,3095.954
170,3078.855
171,3021.977
172,3023.51
173,3002.849
174,3026.051
175,3023.0
176,3025.874
177,3042.313
178,3033.896
179,2980.43
180,2998.172
181,2987.858
182,2998.483
183,3004.703
184,3048.143
185,3065.25
186,3058.498
187,3061.346
188,3063.809
189,3041.166
190,3083.875
191,3084.719
192,3084.458
193,3090.941
194,3128.247
195,3131.939
196,3116.312
197,3112.35
198,3104.27
199,3100.492
200,3122.436
201,3102.733
202,3128.936
203,3125.317
204,3133.333
205,3147.888
206,3128.37
207,3171.282
208,3196.044
209,3210.371
210,3206.986
211,3205.057
212,3208.453
213,3192.856
214,3218.148
215,3248.352
216,3241.137
217,3241.736
218,3261.938
219,3277.0
220,3282.924
221,3250.034
222,3273.309
223,3243.843
224,3204.709
225,3199.647
226,3222.242
227,3215.366
228,3232.883
229,3152.97
230,3155.037
231,3140.531
232,3117.677
233,3122.982
234,3118.085
235,3102.876
236,3137.43
237,3139.558
238,3110.154
239,3122.569
240,3114.664
241,3102.236
242,3096.097
243,3103.637
